iter	RMSE
0	0.00689530217
1	0.006374624566
2	0.005872940145
3	0.005636028486
4	0.005251164605
5	0.004937193631
6	0.004780383045
7	0.004485833056
8	0.004236493105
9	0.004031432159
10	0.003845041791
11	0.003747499261
12	0.003644379926
13	0.003498661478
14	0.003332107515
15	0.003285741053
16	0.003180343189
17	0.003116565084
18	0.002996340217
19	0.002967093233
20	0.002889944645
21	0.002776844295
22	0.002740939782
23	0.002687425915
24	0.002603821418
25	0.002554858339
26	0.002523350628
27	0.002473648747
28	0.002390449993
29	0.002340219299
30	0.002260532577
31	0.002223781513
32	0.002193930136
33	0.002133377397
34	0.002097883339
35	0.002070378153
36	0.002031572162
37	0.001987907853
38	0.001971221536
39	0.001923150465
40	0.001872160916
41	0.001854135592
42	0.001808584564
43	0.00178535084
44	0.001762569825
45	0.001721300026
46	0.001704018657
47	0.001672808269
48	0.001660297932
49	0.001636441851
50	0.001610051423
51	0.001596791636
52	0.001570874686
53	0.001553808451
54	0.001539220236
55	0.001525529627
56	0.001492144522
57	0.001472449194
58	0.001462202084
59	0.001444731747
60	0.001429123672
61	0.001413348511
62	0.001408177522
63	0.001399783283
64	0.001388000896
65	0.001373889512
66	0.001369828132
67	0.001364834416
68	0.00135135573
69	0.001336172437
70	0.00132228424
71	0.001315931482
72	0.001302180928
73	0.001298145334
74	0.001277296289
75	0.001252197421
76	0.001235842844
77	0.001224442261
78	0.001206601389
79	0.001199780649
80	0.001194492013
81	0.00117712901
82	0.001168536365
83	0.001160000434
84	0.001152677187
85	0.001144787651
86	0.001137826249
87	0.001122850713
88	0.001112465298
89	0.001105152766
90	0.001102357749
91	0.001099667872
92	0.001088742061
93	0.001075563751
94	0.001073277006
95	0.001067368141
96	0.001060935347
97	0.001052021175
98	0.001047624178
99	0.001046070974
